mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8vb	Ottava:8va
1	0	0	0	0.0	0	1/2	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>dolce, tranquillo"													
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0									Conmotoflessibile𝅘𝅥=112	112.0	Conmotoflessibile𝅘𝅥	112.0	1.0								
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0						p															
1	0	0	0	0.0	0	1/2	Spanner	3/4	1	1	0																	0				
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4			1/4	1	0									0			0				
1	0	0	0	0.0	0	1/2	StaffText	3/4	2	1	0								"<i><font size=""10.2313""/><font face=""Plantin MT Std""/>legatissimo</i>"													
1	0	0	0	0.5	0	1/2	Chord	3/4	2	1	1/8			1/8	1	1									1							
1	0	1/2	1/2	0.0	1/8	5/8	StaffText	3/4	2	1	0								"<i><font size=""10.2313""/><font face=""Plantin MT Std""/>espressivo</i>"						1							
1	0	1/2	1/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8			1/8	1	2									1							
2	1	1	1	0.0	0	0	Spanner	3/4	1	1	0														0							
2	1	1	1	0.0	0	0	Spanner	3/4	1	1	0														0		0					
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	3									0		0					
2	1	2	2	0.0	1/4	1/4	Spanner	3/4	1	1	0																					
2	1	2	2	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	4																
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	5		articTenutoAbove							2							
2	1	1	1	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	6									1							
