mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8vb
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>largamento, cantando"											
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0						mf													
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									Tempocangiando,abbandonamente𝅘𝅥=92	92.0	Tempocangiando,abbandonamente𝅘𝅥	92.0	1.0						
1	1	0	0	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	0									0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	1									0					
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	2									0					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	3									0					
1	1	0	0	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	4									1					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	5									1					
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	6									1					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	7									1					
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	8									0					
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	9									0					
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	10									0					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	11									0					
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	12									0					
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	13									0					
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	14									1					
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	15									1					
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	16									1					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	17									1					
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	18									1					
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	19									1					
3	3	6	6	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>riten."						0					
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0														0	0				
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	20									0	0				
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	21									0	0				
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	1	1	0																			
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2			1/2	1	22														
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	23									1					
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	24									1					
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	25														
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4			1/2	3/2	26									2					
