mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					mp													
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							Narrante a piacere											
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0						
1	1	0	0	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	0									0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1									0					
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	2									0					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	3									0					
1	1	0	0	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>sempere con Ped."											
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	4									1					
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	5									1					
1	1	3/2	3/2	0.0	3/8	3/8	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>molto cantabile"						1					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	6									1					
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7														
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	8									0					
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	9									0					
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	10									0					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	11									0					
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	12									0					
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	13									0					
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	14									2					
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	15									2					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	16									2					
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	17														
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	18									0					
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	19									0					
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	20									0					
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	21									0					
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	22									3					
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	23									3					
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	24									3					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25														
4	4	9	9	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	26														
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	27									4					
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	28									4					
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	29									4					
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	30									5					
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	31									5					
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	32									5					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33														
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	34									4					
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	35									4					
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	36									4					
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	37									4					
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	38									4					
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	39									4					
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	40									6					
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	41									6					
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	42									6					
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43														
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	44									4					
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	45									4					
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	46														
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	47									7					
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	48									8					
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	49									8					
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	50									8					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51														
