mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.f.V[V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
1	1	1/2	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
1	1	3/4	V7(9)		f	i	V	V7(9)	V			7	9			Mm7	1	1	1, 5, 2, -1	-4	1.0	1.0
2	2	0	i6		f	i	V	i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
2	2	3/8	iv7		f	i	V	iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
2	2	1/2	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
3	3	0	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
3	3	3/8	i		f	i	V	i	i							m	1	1	0, -3, 1		0.0	0.0
3	3	1/2	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
3	3	3/4	i6		f	i	V	i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
3	3	7/8	iv7		f	i	V	iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
4	4	0	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
4	4	1/2	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
4	4	7/8	i6		f	i	V	i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
5	5	0	V9		f	i	V										1	1				
5	5	1/2	i64(69)		f	i	V	i64(69)	i			64	69			m	1	1	-4, 0, -3	2	0.0	-4.0
5	5	3/4	#viio7		f	i	V	#viio7	#vii		o	7				o7	1	1	5, 2, -1, -4		5.0	5.0
6	6	0	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
6	6	3/8	i7		f	i	V	i7	i			7				mm7	1	1	0, -3, 1, -2		0.0	0.0
6	6	1/2	V/v		f	i	V	V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
7	7	0	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
7	7	3/8	.bvii7		f	i	V	bvii7	bvii			7				mm7	1	1	-9, -12, -8, -11		-9.0	-9.0
7	7	1/2	I		f	i	V	I	I							M	1	1	0, 4, 1		0.0	0.0
8	8	0	i6		f	i	V	i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
8	8	3/8	iv7		f	i	V	iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
8	8	1/2	V]		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
8	8	3/4	V7/v		f	i		V7/v	V			7		v		Mm7	1	1	2, 6, 3, 0		2.0	2.0
9	9	0	V\\		f	i		V	V						\\	M	1	1	1, 5, 2		1.0	1.0
9	9	1/4	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
9	9	1/2	V43		f	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
9	9	3/4	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
10	10	0	V6		f	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
10	10	1/4	ii%7/V		f	i		ii%7/V	ii		%	7		V		%7	1	1	3, 2, 9, 1		3.0	3.0
10	10	1/2	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
10	10	3/4	V9/v		f	i											1	1				
11	11	0	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
11	11	1/8	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
11	11	3/8	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
11	11	1/2	V6		f	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
11	11	5/8	V43/v		f	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
11	11	3/4	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
11	11	7/8	ii%43/v		f	i		ii%43/v	ii		%	43		v		%7	1	1	9, 1, 3, 2		3.0	9.0
12	12	0	V64		f	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
12	12	1/8	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
12	12	1/4	V6		f	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
12	12	3/8	V43/v		f	i		V43/v	V			43		v		Mm7	1	1	3, 0, 2, 6		2.0	3.0
12	12	1/2	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
12	12	3/4	V7/v		f	i		V7/v	V			7		v		Mm7	1	1	2, 6, 3, 0		2.0	2.0
13	13	0	V\\		f	i		V	V						\\	M	1	1	1, 5, 2		1.0	1.0
13	13	1/2	V7(9)		f	i		V7(9)	V			7	9			Mm7	1	1	1, 5, 2, -1	-4	1.0	1.0
14	14	0	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
17	17	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
17	17	1/2	i65		f	i		i65	i			65				mm7	1	1	-3, 1, -2, 0		0.0	-3.0
18	18	0	ii%65(9)		f	i		ii%65(9)	ii		%	65	9			%7	1	1	1, 8, 0, 2	-3	2.0	1.0
18	18	1/8	ii%65		f	i		ii%65	ii		%	65				%7	1	1	1, 8, 0, 2		2.0	1.0
