mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	2/4	2	1		f.IV65{		f	i		IV65	IV		65				{	Mm7	1	1	3, 0, -3, -1		-1	3
1	0	1/8	3/8	2/4	2	1		i64	V(6)	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
2	1	0	0	2/4	2	1		i(9)		f	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
2	1	1/8	1/8	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	1/4	1/4	2/4	2	1		IV65		f	i		IV65	IV		65					Mm7	1	1	3, 0, -3, -1		-1	3
2	1	3/8	3/8	2/4	2	1		i64	V(6)	f	i		i64	i		64					m	1	1	1, 0, -3		0	1
3	2	0	0	2/4	2	1		i(9)		f	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
3	2	1/8	1/8	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	1/4	1/4	2/4	2	1		IV65		f	i		IV65	IV		65					Mm7	1	1	3, 0, -3, -1		-1	3
3	2	3/8	3/8	2/4	2	1		i64(+4)	V7(6)	f	i		i64(+4)	i		64	+4				m	1	1	1, 0, -3	-1	0	1
4	3	0	0	2/4	2	1		i6(2)		f	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
4	3	1/8	1/8	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	1/4	1/4	2/4	2	1		V43		f	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	3/8	3/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
5	4	0	0	2/4	2	1		IIIM7		f	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
5	4	1/8	1/8	2/4	2	1		v(#94)		f	i		v(#94)	v			#94				m	1	1	1, 0, 2	3	1	1
5	4	1/4	1/4	2/4	2	1		v		f	i		v	v							m	1	1	1, -2, 2		1	1
5	4	3/8	3/8	2/4	2	1		III6	i64	f	i		III6	III		6					M	1	1	1, -2, -3		-3	1
